state,stage,sex,year,schools_total,students_total,teachers_total,students_per_teacher,students_per_school,teachers_per_school,schools_growth_1y,students_growth_1y,teachers_growth_1y
kelantan,secondary_lower,male,2021,178,55084,4435,12.420293122886132,309.46067415730334,24.915730337078653,0.005649717514124294,0.020678920841980433,-0.04190969971916181
kelantan,secondary_lower,male,2022,178,56530,4366,12.947778286761338,317.5842696629214,24.528089887640448,0.0,0.026250816934136955,-0.015558060879368658
kelantan,secondary_upper,female,2017,175,67273,7766,8.662503219160444,384.41714285714284,44.37714285714286,,,
kelantan,secondary_upper,female,2018,177,58877,7979,7.378994861511468,332.638418079096,45.07909604519774,0.011428571428571429,-0.12480489943959687,0.027427246973989183
kelantan,secondary_upper,female,2019,177,63154,8046,7.849117573949789,356.8022598870057,45.45762711864407,0.0,0.07264296754250386,0.008397042235869156
kelantan,secondary_upper,female,2020,177,55518,8056,6.8915094339622645,313.66101694915255,45.51412429378531,0.0,-0.12091078949868575,0.0012428535918468805
kelantan,secondary_upper,female,2021,178,55989,7965,7.029378531073446,314.5449438202247,44.747191011235955,0.005649717514124294,0.008483735004863288,-0.011295928500496525
kelantan,secondary_upper,female,2022,178,56799,8243,6.890573820211088,319.09550561797755,46.30898876404494,0.0,0.01446712747146761,0.03490269930947897
kelantan,secondary_upper,male,2017,175,63099,4907,12.85897697167312,360.5657142857143,28.04,,,
kelantan,secondary_upper,male,2018,177,56843,4813,11.810305422813213,321.14689265536725,27.192090395480225,0.011428571428571429,-0.09914578677950522,-0.01915630731607907
kelantan,secondary_upper,male,2019,177,58448,4778,12.232733361239012,330.2146892655367,26.994350282485875,0.0,0.02823566666080256,-0.007271971743195512
kelantan,secondary_upper,male,2020,177,53968,4629,11.658673579606827,304.9039548022599,26.152542372881356,0.0,-0.07664932931836846,-0.03118459606529929
kelantan,secondary_upper,male,2021,178,55084,4435,12.420293122886132,309.46067415730334,24.915730337078653,0.005649717514124294,0.020678920841980433,-0.04190969971916181
kelantan,secondary_upper,male,2022,178,56530,4366,12.947778286761338,317.5842696629214,24.528089887640448,0.0,0.026250816934136955,-0.015558060879368658
melaka,primary,female,2017,237,39515,5647,6.997520807508412,166.72995780590716,23.827004219409282,,,
melaka,primary,female,2018,237,39955,5904,6.767445799457994,168.58649789029536,24.911392405063292,0.0,0.011135012020751614,0.04551089073844519
melaka,primary,female,2019,238,40810,5788,7.050794747753974,171.47058823529412,24.319327731092436,0.004219409282700422,0.02139907395820298,-0.01964769647696477
melaka,primary,female,2020,238,41094,5839,7.037848946737455,172.6638655462185,24.53361344537815,0.0,0.006959078657191865,0.008811333794056669
melaka,primary,female,2021,238,41478,5791,7.162493524434467,174.27731092436974,24.331932773109244,0.0,0.009344429843772813,-0.008220585716732317
melaka,primary,female,2022,238,41858,5852,7.152768284347232,175.87394957983193,24.58823529411765,0.0,0.009161483195911086,0.01053358659989639
melaka,primary,male,2017,237,41571,1880,22.11223404255319,175.40506329113924,7.932489451476793,,,
