state,stage,sex,year,completion_rate,malaysia_completion_rate,completion_gap_from_malaysia,target_year,next_year_completion_rate,next_year_completion_gap_from_malaysia,target_delta,lag1_completion_rate,lag1_completion_gap_from_malaysia,completion_rate_change_1y,gap_change_1y,rolling2_completion_mean,rolling2_gap_mean
johor,secondary_upper,male,2019,97.4,96.1,1.3000000000000114,2020,88.3,-3.700000000000003,-9.100000000000009,92.5617,-2.156099999999995,4.838300000000004,3.4561000000000064,94.98085,-0.4280499999999918
johor,secondary_upper,male,2020,88.3,92.0,-3.700000000000003,2021,96.8,-0.7999999999999972,8.5,97.4,1.3000000000000114,-9.100000000000009,-5.000000000000014,92.85,-1.1999999999999957
johor,secondary_upper,male,2021,96.8,97.6,-0.7999999999999972,2022,97.8,-1.2999999999999972,1.0,88.3,-3.700000000000003,8.5,2.9000000000000057,92.55,-2.25
johor,secondary_upper,male,2022,97.8,99.1,-1.2999999999999972,2023,,,,96.8,-0.7999999999999972,1.0,-0.5,97.3,-1.0499999999999972
kedah,primary,female,2016,100.85,99.14,1.7099999999999937,2017,100.84,2.010000000000005,-0.009999999999990905,,,,,100.85,1.7099999999999937
kedah,primary,female,2017,100.84,98.83,2.010000000000005,2018,101.4,2.8800000000000097,0.5600000000000023,100.85,1.7099999999999937,-0.009999999999990905,0.30000000000001137,100.845,1.8599999999999994
kedah,primary,female,2018,101.4,98.52,2.8800000000000097,2019,100.8,2.0999999999999943,-0.6000000000000085,100.84,2.010000000000005,0.5600000000000023,0.8700000000000045,101.12,2.4450000000000074
kedah,primary,female,2019,100.8,98.7,2.0999999999999943,2020,100.9,1.6000000000000085,0.10000000000000853,101.4,2.8800000000000097,-0.6000000000000085,-0.7800000000000153,101.1,2.490000000000002
kedah,primary,female,2020,100.9,99.3,1.6000000000000085,2021,99.3,-1.2000000000000028,-1.6000000000000085,100.8,2.0999999999999943,0.10000000000000853,-0.4999999999999858,100.85,1.8500000000000014
kedah,primary,female,2021,99.3,100.5,-1.2000000000000028,2022,102.4,2.3000000000000114,3.1000000000000085,100.9,1.6000000000000085,-1.6000000000000085,-2.8000000000000114,100.1,0.20000000000000284
kedah,primary,female,2022,102.4,100.1,2.3000000000000114,2023,,,,99.3,-1.2000000000000028,3.1000000000000085,3.500000000000014,100.85,0.5500000000000043
kedah,primary,male,2016,99.11,97.64,1.4699999999999989,2017,99.43,2.0900000000000034,0.3200000000000074,,,,,99.11,1.4699999999999989
kedah,primary,male,2017,99.43,97.34,2.0900000000000034,2018,99.33,2.469999999999999,-0.10000000000000853,99.11,1.4699999999999989,0.3200000000000074,0.6200000000000045,99.27000000000001,1.7800000000000011
kedah,primary,male,2018,99.33,96.86,2.469999999999999,2019,99.6,2.3999999999999915,0.269999999999996,99.43,2.0900000000000034,-0.10000000000000853,0.37999999999999545,99.38,2.280000000000001
kedah,primary,male,2019,99.6,97.2,2.3999999999999915,2020,99.3,1.7000000000000028,-0.29999999999999716,99.33,2.469999999999999,0.269999999999996,-0.07000000000000739,99.465,2.434999999999995
kedah,primary,male,2020,99.3,97.6,1.7000000000000028,2021,95.3,-2.200000000000003,-4.0,99.6,2.3999999999999915,-0.29999999999999716,-0.6999999999999886,99.44999999999999,2.049999999999997
kedah,primary,male,2021,95.3,97.5,-2.200000000000003,2022,99.8,1.0999999999999943,4.5,99.3,1.7000000000000028,-4.0,-3.9000000000000057,97.3,-0.25
kedah,primary,male,2022,99.8,98.7,1.0999999999999943,2023,,,,95.3,-2.200000000000003,4.5,3.299999999999997,97.55,-0.5500000000000043
kedah,secondary_lower,female,2016,97.6341,97.0444,0.5897000000000077,2017,97.6467,-1.0065000000000026,0.012599999999991951,,,,,97.6341,0.5897000000000077
kedah,secondary_lower,female,2017,97.6467,98.6532,-1.0065000000000026,2018,97.7081,0.027000000000001023,0.061400000000006116,97.6341,0.5897000000000077,0.012599999999991951,-1.5962000000000103,97.6404,-0.20839999999999748
kedah,secondary_lower,female,2018,97.7081,97.6811,0.027000000000001023,2019,98.1,0.09999999999999432,0.3918999999999926,97.6467,-1.0065000000000026,0.061400000000006116,1.0335000000000036,97.6774,-0.4897500000000008
